wavelength_um,L_W_m2_sr_um
1.117167919799498677e+01,1.906932002400988324e+01
1.118421052631578938e+01,1.903560876573579819e+01
1.119674185463659200e+01,1.900191895123470687e+01
1.120927318295739283e+01,1.896825094468247386e+01
1.122180451127819545e+01,1.893460510653480711e+01
1.123433583959899806e+01,1.890098179355317143e+01
1.124686716791979890e+01,1.886738135883069134e+01
1.125939849624060152e+01,1.883380415181786915e+01
1.127192982456140413e+01,1.880025051834810057e+01
1.128446115288220497e+01,1.876672080066332526e+01
1.129699248120300759e+01,1.873321533743913747e+01
1.130952380952381020e+01,1.869973446381015947e+01
1.132205513784461104e+01,1.866627851139501004e+01
1.133458646616541365e+01,1.863284780832129783e+01
1.134711779448621627e+01,1.859944267925040506e+01
1.135964912280701711e+01,1.856606344540222153e+01
1.137218045112781972e+01,1.853271042457962281e+01
1.138471177944862234e+01,1.849938393119291291e+01
1.139724310776942318e+01,1.846608427628417815e+01
1.140977443609022579e+01,1.843281176755137096e+01
1.142230576441102841e+01,1.839956670937234762e+01
1.143483709273182924e+01,1.836634940282884898e+01
1.144736842105263186e+01,1.833316014573021846e+01
1.145989974937343447e+01,1.829999923263702755e+01
1.147243107769423531e+01,1.826686695488463741e+01
1.148496240601503793e+01,1.823376360060656864e+01
1.149749373433583877e+01,1.820068945475778577e+01
1.151002506265664138e+01,1.816764479913781472e+01
1.152255639097744222e+01,1.813462991241371469e+01
1.153508771929824661e+01,1.810164507014304291e+01
1.154761904761904745e+01,1.806869054479653158e+01
1.156015037593984829e+01,1.803576660578072932e+01
1.157268170426065268e+01,1.800287351946052894e+01
1.158521303258145352e+01,1.797001154918151755e+01
1.159774436090225436e+01,1.793718095529224854e+01
1.161027568922305697e+01,1.790438199516631457e+01
1.162280701754385959e+01,1.787161492322439571e+01
1.163533834586466043e+01,1.783887999095609800e+01
1.164786967418546304e+01,1.780617744694173510e+01
1.166040100250626566e+01,1.777350753687390394e+01
1.167293233082706649e+01,1.774087050357902129e+01
1.168546365914786911e+01,1.770826658703867906e+01
1.169799498746867172e+01,1.767569602441091448e+01
1.171052631578947256e+01,1.764315905005133800e+01
1.172305764411027518e+01,1.761065589553411570e+01
1.173558897243107779e+01,1.757818678967283788e+01
1.174812030075187863e+01,1.754575195854140190e+01
1.176065162907268125e+01,1.751335162549446878e+01
1.177318295739348386e+01,1.748098601118812567e+01
1.178571428571428470e+01,1.744865533360021814e+01
1.179824561403508731e+01,1.741635980805067518e+01
1.181077694235588993e+01,1.738409964722159273e+01
1.182330827067669077e+01,1.735187506117737044e+01
1.183583959899749338e+01,1.731968625738455358e+01
1.184837092731829600e+01,1.728753344073165721e+01
1.186090225563909684e+01,1.725541681354886592e+01
1.187343358395989945e+01,1.722333657562755604e+01
